--------------------
BDMEP - INMET
--------------------
Estação           : FORTALEZA - CE (OMM: 82397)
Latitude  (graus) : -3.81
Longitude (graus) : -38.53
Altitude  (metros): 26.45
Estação Operante
Inicio de operação: 27/10/1919
Periodo solicitado dos dados: 01/01/1986 a 31/12/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;VelocidadeVento
82397;26/04/1994;1800;4.1;
82397;27/04/1994;0000;0;
82397;27/04/1994;1200;1.5;
82397;27/04/1994;1800;4.1;
82397;28/04/1994;0000;0;
82397;28/04/1994;1200;2;
82397;28/04/1994;1800;0.7;
82397;29/04/1994;0000;1;
82397;29/04/1994;1200;1;
82397;29/04/1994;1800;2;
82397;30/04/1994;0000;1.5;
82397;30/04/1994;1200;3.6;
82397;30/04/1994;1800;3.3;
82397;01/05/1994;0000;0.3;
82397;01/05/1994;1200;4.3;
82397;01/05/1994;1800;5.1;
82397;02/05/1994;0000;0.8;
82397;02/05/1994;1200;1.8;
82397;02/05/1994;1800;1.3;
82397;03/05/1994;0000;1.8;
82397;03/05/1994;1200;4.1;
82397;03/05/1994;1800;3.1;
82397;04/05/1994;0000;0.8;
82397;04/05/1994;1200;3.3;
82397;04/05/1994;1800;3.5;
82397;05/05/1994;0000;0.3;
82397;05/05/1994;1200;2;
82397;05/05/1994;1800;3.3;
82397;06/05/1994;0000;0.8;
82397;06/05/1994;1200;4.6;
82397;06/05/1994;1800;4.8;
82397;07/05/1994;0000;1;
82397;07/05/1994;1200;4;
82397;07/05/1994;1800;3.5;
82397;08/05/1994;0000;3.1;
82397;08/05/1994;1200;4.6;
82397;08/05/1994;1800;3;
82397;09/05/1994;0000;0.8;
82397;09/05/1994;1200;3.3;
82397;09/05/1994;1800;3.3;
82397;10/05/1994;0000;0.5;
82397;10/05/1994;1200;1.3;
82397;10/05/1994;1800;2.1;
82397;11/05/1994;0000;0.5;
82397;11/05/1994;1200;3;
82397;11/05/1994;1800;2.6;
82397;12/05/1994;0000;2;
82397;12/05/1994;1200;1;
82397;12/05/1994;1800;1.6;
82397;13/05/1994;0000;0.5;
82397;13/05/1994;1200;4.6;
82397;13/05/1994;1800;3.5;
82397;14/05/1994;0000;1.6;
82397;14/05/1994;1200;3.5;
82397;14/05/1994;1800;3.5;
82397;15/05/1994;0000;0.8;
82397;15/05/1994;1200;2.1;
82397;15/05/1994;1800;2.5;
82397;16/05/1994;0000;0.3;
82397;16/05/1994;1200;3.3;
82397;16/05/1994;1800;3.5;
82397;17/05/1994;0000;2.1;
82397;17/05/1994;1200;5;
82397;17/05/1994;1800;3.5;
82397;18/05/1994;0000;0.5;
82397;18/05/1994;1200;3;
82397;18/05/1994;1800;3.3;
82397;19/05/1994;0000;0.8;
82397;19/05/1994;1200;3.3;
82397;19/05/1994;1800;3.3;
82397;20/05/1994;0000;1.1;
82397;20/05/1994;1200;3.6;
82397;20/05/1994;1800;4.3;
82397;21/05/1994;0000;1.3;
82397;21/05/1994;1200;2.5;
82397;21/05/1994;1800;4.5;
82397;22/05/1994;0000;1.3;
82397;22/05/1994;1200;1.8;
82397;22/05/1994;1800;4.8;
82397;23/05/1994;0000;1.3;
82397;23/05/1994;1200;5.3;
82397;23/05/1994;1800;3.3;
82397;24/05/1994;0000;2.1;
82397;24/05/1994;1200;2.3;
82397;24/05/1994;1800;3.3;
82397;25/05/1994;0000;1.3;
82397;25/05/1994;1200;3.3;
82397;25/05/1994;1800;3;
82397;26/05/1994;0000;0.5;
82397;26/05/1994;1200;3;
82397;26/05/1994;1800;3.8;
82397;27/05/1994;0000;0.3;
82397;27/05/1994;1200;3;
82397;27/05/1994;1800;3.3;
82397;28/05/1994;0000;1.3;
82397;28/05/1994;1200;3;
82397;28/05/1994;1800;3.5;
82397;29/05/1994;0000;1.8;
82397;29/05/1994;1200;2.5;
82397;29/05/1994;1800;3.6;
82397;30/05/1994;0000;0.8;
82397;30/05/1994;1200;2.1;
82397;30/05/1994;1800;3.3;
82397;31/05/1994;0000;1.5;
82397;31/05/1994;1200;3.5;
82397;31/05/1994;1800;4.3;
82397;01/06/1994;0000;2.1;
82397;01/06/1994;1200;3.3;
82397;01/06/1994;1800;3.3;
82397;02/06/1994;0000;1.1;
82397;02/06/1994;1200;2.5;
82397;02/06/1994;1800;4.5;
82397;03/06/1994;0000;1;
82397;03/06/1994;1200;2.5;
82397;03/06/1994;1800;1.8;
82397;04/06/1994;0000;0.5;
82397;04/06/1994;1200;2.5;
82397;04/06/1994;1800;3.5;
82397;05/06/1994;0000;0.5;
82397;05/06/1994;1200;1.3;
82397;05/06/1994;1800;2.6;
82397;06/06/1994;0000;0.7;
82397;06/06/1994;1200;5;
82397;06/06/1994;1800;3.3;
82397;07/06/1994;0000;2.1;
82397;07/06/1994;1200;5.8;
82397;07/06/1994;1800;2.3;
82397;08/06/1994;0000;0.5;
82397;08/06/1994;1200;3.3;
82397;08/06/1994;1800;4.1;
82397;09/06/1994;0000;0.3;
82397;09/06/1994;1200;3.6;
82397;09/06/1994;1800;4.1;
82397;10/06/1994;0000;0.5;
82397;10/06/1994;1200;2.5;
82397;10/06/1994;1800;4;
82397;11/06/1994;0000;2.3;
82397;11/06/1994;1200;4;
82397;11/06/1994;1800;3.8;
82397;12/06/1994;0000;0.5;
82397;12/06/1994;1200;3.3;
82397;12/06/1994;1800;3.6;
82397;13/06/1994;0000;0.3;
82397;13/06/1994;1200;2.1;
82397;13/06/1994;1800;1.1;
82397;14/06/1994;0000;4;
82397;14/06/1994;1200;1.6;
82397;14/06/1994;1800;2.1;
82397;15/06/1994;0000;0.7;
82397;15/06/1994;1200;3.5;
82397;15/06/1994;1800;2.5;
82397;16/06/1994;0000;0.3;
82397;16/06/1994;1200;2.6;
82397;16/06/1994;1800;2;
